Recipe Type,Length
African,8
African,8
African,20
African,5
African,16
African,8
African,13
African,10
African,12
African,12
African,9
African,12
African,9
African,9
African,8
African,14
African,14
African,12
African,13
African,11
African,8
African,14
African,5
African,13
African,18
African,7
African,13
African,11
African,10
African,12
African,16
African,16
African,6
African,17
African,12
African,7
African,12
African,9
African,6
EastAsian,4
EastAsian,8
EastAsian,8
EastAsian,10
EastAsian,5
EastAsian,12
EastAsian,16
EastAsian,11
EastAsian,8
EastAsian,4
EastAsian,10
EastAsian,7
EastAsian,8
EastAsian,9
EastAsian,12
EastAsian,5
EastAsian,4
EastAsian,5
EastAsian,8
EastAsian,8
EastAsian,14
EastAsian,11
EastAsian,9
EastAsian,5
EastAsian,6
EastAsian,8
EastAsian,5
EastAsian,8
EastAsian,11
EastAsian,10
EastAsian,10
EastAsian,15
EastAsian,4
EastAsian,15
EastAsian,10
EastAsian,2
EastAsian,13
EastAsian,9
EastAsian,4
EastAsian,11
EastAsian,9
EastAsian,7
EastAsian,11
EastAsian,12
EastAsian,12
EastAsian,12
EastAsian,10
EastAsian,13
EastAsian,13
EastAsian,10
EastAsian,13
EastAsian,7
EastAsian,1
EastAsian,10
EastAsian,7
EastAsian,6
EastAsian,5
EastAsian,8
EastAsian,9
EastAsian,13
EastAsian,13
EastAsian,15
EastAsian,10
EastAsian,8
EastAsian,13
EastAsian,9
EastAsian,8
EastAsian,13
EastAsian,7
EastAsian,15
EastAsian,17
EastAsian,1
EastAsian,13
EastAsian,4
EastAsian,10
EastAsian,10
EastAsian,3
EastAsian,2
EastAsian,9
EastAsian,5
EastAsian,10
EastAsian,11
EastAsian,18
EastAsian,5
EastAsian,4
EastAsian,13
EastAsian,11
EastAsian,9
EastAsian,15
EastAsian,7
EastAsian,4
EastAsian,13
EastAsian,11
EastAsian,11
EastAsian,8
EastAsian,11
EastAsian,6
EastAsian,8
EastAsian,14
EastAsian,13
EastAsian,5
EastAsian,13
EastAsian,18
EastAsian,16
EastAsian,11
EastAsian,7
EastAsian,11
EastAsian,13
EastAsian,8
EastAsian,9
EastAsian,5
EastAsian,15
EastAsian,15
EastAsian,7
EastAsian,7
EastAsian,10
EastAsian,9
EastAsian,9
EastAsian,6
EastAsian,7
EastAsian,12
EastAsian,7
EastAsian,17
EastAsian,12
EastAsian,11
EastAsian,10
EastAsian,5
EastAsian,12
EastAsian,11
EastAsian,11
EastAsian,9
EastAsian,11
EastAsian,5
EastAsian,11
EastAsian,10
EastAsian,16
EastAsian,4
EastAsian,11
EastAsian,5
EastAsian,10
EastAsian,5
EastAsian,3
EastAsian,14
EastAsian,11
EastAsian,1
EastAsian,4
EastAsian,10
EastAsian,8
EastAsian,7
EastAsian,9
EastAsian,13
EastAsian,6
EastAsian,12
EastAsian,11
EastAsian,12
EastAsian,8
EastAsian,10
EastAsian,5
EastAsian,8
EastAsian,8
EastAsian,17
EastAsian,12
EastAsian,8
EastAsian,14
EastAsian,7
EastAsian,9
EastAsian,7
EastAsian,5
EastAsian,6
EastAsian,12
EastAsian,10
EastAsian,2
EastAsian,6
EastAsian,15
EastAsian,13
EastAsian,8
EastAsian,11
EastAsian,11
EastAsian,9
EastAsian,10
EastAsian,5
EastAsian,17
EastAsian,2
EastAsian,10
EastAsian,9
EastAsian,9
EastAsian,10
EastAsian,16
EastAsian,11
EastAsian,7
EastAsian,14
EastAsian,12
EastAsian,21
EastAsian,10
EastAsian,6
EastAsian,14
EastAsian,8
EastAsian,10
EastAsian,11
EastAsian,11
EastAsian,4
EastAsian,11
EastAsian,6
EastAsian,11
EastAsian,9
EastAsian,8
EastAsian,12
EastAsian,15
EastAsian,9
EastAsian,5
EastAsian,8
EastAsian,12
EastAsian,14
EastAsian,5
EastAsian,15
EastAsian,16
EastAsian,15
EastAsian,5
EastAsian,6
EastAsian,10
EastAsian,1
EastAsian,11
EastAsian,16
EastAsian,8
EastAsian,10
EastAsian,9
EastAsian,11
EastAsian,10
EastAsian,7
EastAsian,14
EastAsian,10
EastAsian,4
EastAsian,14
EastAsian,6
EastAsian,9
EastAsian,17
EastAsian,5
EastAsian,10
EastAsian,6
EastAsian,17
EastAsian,16
EastAsian,9
EastAsian,7
EastAsian,11
EastAsian,1
EastAsian,13
EastAsian,12
EastAsian,12
EastAsian,3
EastAsian,2
EastAsian,19
EastAsian,11
EastAsian,6
EastAsian,16
EastAsian,11
EastAsian,9
EastAsian,6
EastAsian,8
EastAsian,12
EastAsian,5
EastAsian,5
EastAsian,9
EastAsian,6
EastAsian,13
EastAsian,11
EastAsian,10
EastAsian,7
EastAsian,3
EastAsian,12
EastAsian,11
EastAsian,7
EastAsian,6
EastAsian,13
EastAsian,14
EastAsian,8
EastAsian,6
EastAsian,7
EastAsian,8
EastAsian,16
EastAsian,9
EastAsian,7
EastAsian,10
EastAsian,7
EastAsian,9
EastAsian,3
EastAsian,13
EastAsian,7
EastAsian,9
EastAsian,5
EastAsian,16
EastAsian,7
EastAsian,11
EastAsian,4
EastAsian,10
EastAsian,6
EastAsian,8
EastAsian,4
EastAsian,9
EastAsian,14
EastAsian,6
EastAsian,3
EastAsian,16
EastAsian,12
EastAsian,17
EastAsian,10
EastAsian,5
EastAsian,8
EastAsian,6
EastAsian,16
EastAsian,6
EastAsian,7
EastAsian,9
EastAsian,9
EastAsian,13
EastAsian,8
EastAsian,3
EastAsian,12
EastAsian,13
EastAsian,14
EastAsian,6
EastAsian,2
EastAsian,1
EastAsian,6
EastAsian,3
EastAsian,6
EastAsian,14
EastAsian,6
EastAsian,7
EastAsian,8
EastAsian,5
EastAsian,6
EastAsian,10
EastAsian,13
EastAsian,6
EastAsian,10
EastAsian,12
EastAsian,9
EastAsian,4
EastAsian,11
EastAsian,1
EastAsian,8
EastAsian,10
EastAsian,8
EastAsian,13
EastAsian,7
EastAsian,18
EastAsian,16
EastAsian,11
EastAsian,10
EastAsian,8
EastAsian,7
EastAsian,4
EastAsian,7
EastAsian,4
EastAsian,7
EastAsian,10
EastAsian,6
EastAsian,17
EastAsian,10
EastAsian,10
EastAsian,10
EastAsian,13
EastAsian,3
EastAsian,10
EastAsian,11
EastAsian,3
EastAsian,7
EastAsian,4
EastAsian,4
EastAsian,5
EastAsian,6
EastAsian,8
EastAsian,11
EastAsian,8
EastAsian,7
EastAsian,12
EastAsian,16
EastAsian,7
EastAsian,5
EastAsian,13
EastAsian,4
EastAsian,4
EastAsian,10
EastAsian,8
EastAsian,12
EastAsian,13
EastAsian,9
EastAsian,5
EastAsian,6
EastAsian,7
EastAsian,6
EastAsian,6
EastAsian,12
EastAsian,8
EastAsian,7
EastAsian,9
EastAsian,9
EastAsian,12
EastAsian,11
EastAsian,12
EastAsian,13
EastAsian,5
EastAsian,8
EastAsian,8
EastAsian,3
EastAsian,5
EastAsian,9
EastAsian,11
EastAsian,13
EastAsian,12
EastAsian,9
EastAsian,13
EastAsian,14
EastAsian,8
EastAsian,11
EastAsian,7
EastAsian,5
EastAsian,14
EastAsian,10
EastAsian,5
EastAsian,11
EastAsian,4
EastAsian,7
EastAsian,8
EastAsian,7
EastAsian,7
EastAsian,9
EastAsian,17
EastAsian,8
EastAsian,12
EastAsian,8
EastAsian,6
EastAsian,16
EastAsian,9
EastAsian,9
EastAsian,4
EastAsian,9
EastAsian,9
EastAsian,13
EastAsian,8
EastAsian,10
EastAsian,7
EastAsian,10
EastAsian,13
EastAsian,13
EastAsian,8
EastAsian,10
EastAsian,4
EastAsian,17
EastAsian,8
EastAsian,9
EastAsian,12
EastAsian,10
EastAsian,5
EastAsian,9
EastAsian,10
EastAsian,4
EastAsian,11
EastAsian,12
EastAsian,10
EastAsian,6
EastAsian,16
EastAsian,9
EastAsian,14
EastAsian,14
EastAsian,9
EastAsian,10
EastAsian,3
EastAsian,4
EastAsian,3
EastAsian,10
EastAsian,3
EastAsian,9
EastAsian,8
EastAsian,7
EastAsian,11
EastAsian,11
EastAsian,6
EastAsian,3
EastAsian,8
EastAsian,13
EastAsian,11
EastAsian,9
EastAsian,7
EastAsian,13
EastAsian,11
EastAsian,9
EastAsian,10
EastAsian,4
EastAsian,10
EastAsian,10
EastAsian,10
EastAsian,11
EastAsian,11
EastAsian,11
EastAsian,17
EastAsian,8
EastAsian,11
EastAsian,12
EastAsian,9
EastAsian,5
EastAsian,9
EastAsian,14
EastAsian,5
EastAsian,11
EastAsian,5
EastAsian,8
EastAsian,8
EastAsian,10
EastAsian,6
EastAsian,7
EastAsian,22
EastAsian,9
EastAsian,5
EastAsian,12
EastAsian,11
EastAsian,7
EastAsian,7
EastAsian,5
EastAsian,10
EastAsian,13
EastAsian,7
EastAsian,13
EastAsian,4
EastAsian,12
EastAsian,16
EastAsian,6
EastAsian,9
EastAsian,13
EastAsian,2
EastAsian,6
EastAsian,5
EastAsian,10
EastAsian,5
EastAsian,9
EastAsian,11
EastAsian,10
EastAsian,8
EastAsian,5
EastAsian,9
EastAsian,10
EastAsian,6
EastAsian,5
EastAsian,5
EastAsian,6
EastAsian,13
EastAsian,3
EastAsian,8
EastAsian,10
EastAsian,5
EastAsian,8
EastAsian,4
EastAsian,9
EastAsian,10
EastAsian,2
EastAsian,7
EastAsian,11
EastAsian,8
EastAsian,11
EastAsian,9
EastAsian,7
EastAsian,9
EastAsian,6
EastAsian,7
EastAsian,7
EastAsian,8
EastAsian,6
EastAsian,4
EastAsian,12
EastAsian,3
EastAsian,6
EastAsian,3
EastAsian,6
EastAsian,2
EastAsian,8
EastAsian,6
EastAsian,2
EastAsian,7
EastAsian,10
EastAsian,13
EastAsian,6
EastAsian,9
EastAsian,2
EastAsian,4
EastAsian,16
EastAsian,9
EastAsian,6
EastAsian,6
EastAsian,4
EastAsian,7
EastAsian,11
EastAsian,12
EastAsian,10
EastAsian,5
EastAsian,4
EastAsian,10
EastAsian,4
EastAsian,4
EastAsian,10
EastAsian,7
EastAsian,3
EastAsian,4
EastAsian,5
EastAsian,6
EastAsian,12
EastAsian,7
EastAsian,13
EastAsian,6
EastAsian,13
EastAsian,12
EastAsian,8
EastAsian,13
EastAsian,15
EastAsian,15
EastAsian,17
EastAsian,14
EastAsian,12
EastAsian,10
EastAsian,6
EastAsian,13
EastAsian,7
EastAsian,15
EastAsian,14
EastAsian,13
EastAsian,11
EastAsian,19
EastAsian,5
EastAsian,8
EastAsian,20
EastAsian,15
EastAsian,12
EastAsian,14
EastAsian,12
EastAsian,9
EastAsian,11
EastAsian,11
EastAsian,12
EastAsian,9
EastAsian,16
EastAsian,10
EastAsian,8
EastAsian,13
EastAsian,17
EastAsian,17
EastAsian,14
EastAsian,16
EastAsian,11
EastAsian,14
EastAsian,12
EastAsian,5
EastAsian,11
EastAsian,15
EastAsian,16
EastAsian,13
EastAsian,17
EastAsian,14
EastAsian,8
EastAsian,14
EastAsian,10
EastAsian,13
EastAsian,8
EastAsian,8
EastAsian,14
EastAsian,16
EastAsian,10
EastAsian,13
EastAsian,12
EastAsian,17
EastAsian,14
EastAsian,19
EastAsian,8
EastAsian,10
EastAsian,17
EastAsian,9
EastAsian,2
EastAsian,10
EastAsian,13
EastAsian,7
EastAsian,10
EastAsian,8
EastAsian,16
EastAsian,5
EastAsian,8
EastAsian,13
EastAsian,7
EastAsian,11
EastAsian,9
EastAsian,13
EastAsian,7
EastAsian,6
EastAsian,11
EastAsian,4
EastAsian,14
EastAsian,15
EastAsian,14
EastAsian,11
EastAsian,6
EastAsian,7
EastAsian,9
EastAsian,15
EastAsian,13
EastAsian,8
EastAsian,9
EastAsian,9
EastAsian,10
EastAsian,13
EastAsian,5
EastAsian,10
EastAsian,4
EastAsian,12
EastAsian,9
EastAsian,7
EastAsian,12
EastAsian,8
EastAsian,11
EastAsian,5
EastAsian,8
EastAsian,11
EastAsian,9
EastAsian,5
EastAsian,8
EastAsian,8
EastAsian,5
EastAsian,7
EastAsian,8
EastAsian,7
EastAsian,7
EastAsian,9
EastAsian,10
EastAsian,11
EastAsian,10
EastAsian,12
EastAsian,5
EastAsian,10
EastAsian,7
EastAsian,9
EastAsian,4
EastAsian,25
EastAsian,13
EastAsian,5
EastAsian,4
EastAsian,8
EastAsian,17
EastAsian,11
EastAsian,8
EastAsian,19
EastAsian,8
EastAsian,11
EastAsian,7
EastAsian,5
EastAsian,5
EastAsian,7
EastAsian,6
EastAsian,4
EastAsian,10
EastAsian,17
EastAsian,13
EastAsian,12
EastAsian,5
EastAsian,9
EastAsian,14
EastAsian,12
EastAsian,10
EastAsian,9
EastAsian,5
EastAsian,10
EastAsian,7
EastAsian,17
EastAsian,1
EastAsian,10
EastAsian,11
EastAsian,11
EastAsian,7
EastAsian,11
EastAsian,14
EastAsian,6
EastAsian,7
EastAsian,7
EastAsian,5
EastAsian,12
EastAsian,18
EastAsian,9
EastAsian,17
EastAsian,15
EastAsian,10
EastAsian,13
EastAsian,15
EastAsian,9
EastAsian,3
EastAsian,10
EastAsian,7
EastAsian,10
EastAsian,9
EastAsian,8
EastAsian,11
EastAsian,6
EastAsian,8
EastAsian,12
EastAsian,10
EastAsian,11
EastAsian,9
EastAsian,13
EastAsian,14
EastAsian,4
EastAsian,4
EastAsian,10
EastAsian,8
EastAsian,7
EastAsian,15
EastAsian,5
EastAsian,8
EastAsian,4
EastAsian,13
EastAsian,13
EastAsian,8
EastAsian,10
EastAsian,8
EastAsian,12
EastAsian,14
EastAsian,5
EastAsian,10
EastAsian,17
EastAsian,11
EastAsian,14
EastAsian,14
EastAsian,7
EastAsian,3
EastAsian,11
EastAsian,12
EastAsian,5
EastAsian,5
EastAsian,11
EastAsian,12
EastAsian,6
EastAsian,9
EastAsian,15
EastAsian,12
EastAsian,11
EastAsian,12
EastAsian,8
EastAsian,17
EastAsian,7
EastAsian,10
EastAsian,10
EastAsian,7
EastAsian,7
EastAsian,7
EastAsian,4
EastAsian,6
EastAsian,10
EastAsian,2
EastAsian,10
EastAsian,12
EastAsian,13
EastAsian,6
EastAsian,7
EastAsian,10
EastAsian,7
EastAsian,7
EastAsian,8
EastAsian,9
EastAsian,6
EastAsian,8
EastAsian,17
EastAsian,13
EastAsian,16
EastAsian,8
EastAsian,10
EastAsian,7
EastAsian,2
EastAsian,3
EastAsian,13
EastAsian,7
EastAsian,11
EastAsian,9
EastAsian,1
EastAsian,4
EastAsian,8
EastAsian,8
EastAsian,12
EastAsian,10
EastAsian,11
EastAsian,15
EastAsian,1
EastAsian,7
EastAsian,13
EastAsian,6
EastAsian,14
EastAsian,7
EastAsian,1
EastAsian,9
EastAsian,4
EastAsian,15
EastAsian,9
EastAsian,7
EastAsian,13
EastAsian,14
EastAsian,19
EastAsian,16
EastAsian,5
EastAsian,6
EastAsian,4
EastAsian,6
EastAsian,7
EastAsian,8
EastAsian,8
EastAsian,9
EastAsian,13
EastAsian,7
EastAsian,17
EastAsian,7
EastAsian,11
EastAsian,10
EastAsian,13
EastAsian,12
EastAsian,12
EastAsian,14
EastAsian,9
EastAsian,8
EastAsian,7
EastAsian,10
EastAsian,13
EastAsian,5
EastAsian,10
EastAsian,10
EastAsian,10
EastAsian,8
EastAsian,8
EastAsian,12
EastAsian,7
EastAsian,7
EastAsian,12
EastAsian,6
EastAsian,12
EastAsian,7
EastAsian,5
EastAsian,15
EastAsian,14
EastAsian,14
EastAsian,14
EastAsian,14
EastAsian,11
EastAsian,11
EastAsian,4
EastAsian,12
EastAsian,7
EastAsian,13
EastAsian,7
EastAsian,14
EastAsian,15
EastAsian,8
EastAsian,9
EastAsian,19
EastAsian,3
EastAsian,14
EastAsian,12
EastAsian,10
EastAsian,13
EastAsian,19
EastAsian,11
EastAsian,8
EastAsian,13
EastAsian,10
EastAsian,11
EastAsian,1
EastAsian,14
EastAsian,9
EastAsian,10
EastAsian,9
EastAsian,12
EastAsian,7
EastAsian,9
EastAsian,10
EastAsian,9
EastAsian,6
EastAsian,8
EastAsian,16
EastAsian,8
EastAsian,5
EastAsian,11
EastAsian,10
EastAsian,9
EastAsian,7
EastAsian,6
EastAsian,19
EastAsian,11
EastAsian,11
EastAsian,11
EastAsian,7
EastAsian,10
EastAsian,6
EastAsian,8
EastAsian,8
EastAsian,12
EastAsian,16
EastAsian,11
EastAsian,9
EastAsian,9
EastAsian,11
EastAsian,8
EastAsian,10
EastAsian,6
EastAsian,9
EastAsian,12
EastAsian,9
EastAsian,5
EastAsian,6
EastAsian,13
EastAsian,3
EastAsian,5
EastAsian,5
EastAsian,6
EastAsian,7
EastAsian,8
EastAsian,3
EastAsian,6
EastAsian,11
EastAsian,11
EastAsian,3
EastAsian,7
EastAsian,7
EastAsian,7
EastAsian,5
EastAsian,7
EastAsian,17
EastAsian,3
EastAsian,17
EastAsian,6
EastAsian,4
EastAsian,11
EastAsian,6
EastAsian,12
EastAsian,7
EastAsian,14
EastAsian,11
EastAsian,4
EastAsian,5
EastAsian,8
EastAsian,8
EastAsian,7
EastAsian,16
EastAsian,12
EastAsian,10
EastAsian,9
EastAsian,7
EastAsian,11
EastAsian,8
EastAsian,10
EastAsian,9
EastAsian,8
EastAsian,10
EastAsian,13
EastAsian,9
EastAsian,8
EastAsian,4
EastAsian,10
EastAsian,10
EastAsian,10
EastAsian,9
EastAsian,8
EastAsian,14
EastAsian,13
EastAsian,14
EastAsian,8
EastAsian,11
EastAsian,8
EastAsian,8
EastAsian,2
EastAsian,10
EastAsian,8
EastAsian,9
EastAsian,11
EastAsian,9
EastAsian,14
EastAsian,7
EastAsian,13
EastAsian,9
EastAsian,5
EastAsian,8
EastAsian,12
EastAsian,9
EastAsian,4
EastAsian,7
EastAsian,8
EastAsian,2
EastAsian,7
EastAsian,9
EastAsian,7
EastAsian,8
EastAsian,4
EastAsian,14
EastAsian,7
EastAsian,7
EastAsian,5
EastAsian,3
EastAsian,6
EastAsian,9
EastAsian,3
EastAsian,3
EastAsian,8
EastAsian,11
EastAsian,4
EastAsian,3
EastAsian,2
EastAsian,13
EastAsian,13
EastAsian,17
EastAsian,5
EastAsian,6
EastAsian,17
EastAsian,7
EastAsian,6
EastAsian,8
EastAsian,8
EastAsian,9
EastAsian,9
EastAsian,14
EastAsian,9
EastAsian,7
EastAsian,6
EastAsian,7
EastAsian,14
EastAsian,12
EastAsian,15
EastAsian,5
EastAsian,5
EastAsian,9
EastAsian,14
EastAsian,16
EastAsian,4
EastAsian,7
EastAsian,8
EastAsian,10
EastAsian,8
EastAsian,4
EastAsian,9
EastAsian,11
EastAsian,5
EastAsian,13
EastAsian,15
EastAsian,8
EastAsian,6
EastAsian,9
EastAsian,13
EastAsian,14
EastAsian,14
EastAsian,18
EastAsian,5
EastAsian,4
EastAsian,24
EastAsian,14
EastAsian,14
EastAsian,7
EastAsian,14
EastAsian,10
EastAsian,14
EastAsian,4
EastAsian,6
EastAsian,14
EastAsian,10
EastAsian,4
EastAsian,3
EastAsian,7
EastAsian,3
EastAsian,2
EastAsian,2
EastAsian,1
EastAsian,4
EastAsian,8
EastAsian,11
EastAsian,4
EastAsian,8
EastAsian,2
EastAsian,4
EastAsian,8
EastAsian,6
EastAsian,7
EastAsian,4
EastAsian,14
EastAsian,10
EastAsian,8
EastAsian,9
EastAsian,6
EastAsian,7
EastAsian,3
EastAsian,14
EastAsian,10
EastAsian,7
EastAsian,5
EastAsian,5
EastAsian,9
EastAsian,9
EastAsian,9
EastAsian,14
EastAsian,11
EastAsian,9
EastAsian,15
EastAsian,9
EastAsian,6
EastAsian,7
EastAsian,8
EastAsian,10
EastAsian,7
EastAsian,7
EastAsian,4
EastAsian,3
EastAsian,4
EastAsian,5
EastAsian,2
EastAsian,17
EastAsian,8
EastAsian,9
EastAsian,10
EastAsian,10
EastAsian,12
EastAsian,10
EastAsian,4
EastAsian,10
EastAsian,5
EastAsian,6
EastAsian,9
EastAsian,11
EastAsian,5
EastAsian,6
EastAsian,7
EastAsian,9
EastAsian,9
EastAsian,17
EastAsian,6
EastAsian,1
EastAsian,12
EastAsian,13
EastAsian,8
EastAsian,4
EastAsian,10
EastAsian,16
EastAsian,14
EastAsian,9
EastAsian,7
EastAsian,10
EastAsian,9
EastAsian,7
EastAsian,8
EastAsian,15
EastAsian,8
EastAsian,8
EastAsian,4
EastAsian,8
EastAsian,6
EastAsian,7
EastAsian,13
EastAsian,8
EastAsian,12
EastAsian,14
EastAsian,6
EastAsian,7
EastAsian,8
EastAsian,11
EastAsian,10
EastAsian,9
EastAsian,6
EastAsian,4
EastAsian,12
EastAsian,10
EastAsian,10
EastAsian,6
EastAsian,11
EastAsian,3
EastAsian,4
EastAsian,7
EastAsian,8
EastAsian,6
EastAsian,17
EastAsian,6
EastAsian,12
EastAsian,5
EastAsian,9
EastAsian,13
EastAsian,9
EastAsian,15
EastAsian,6
EastAsian,15
EastAsian,5
EastAsian,15
EastAsian,6
EastAsian,5
EastAsian,12
EastAsian,9
EastAsian,16
EastAsian,14
EastAsian,9
EastAsian,14
EastAsian,18
EastAsian,15
EastAsian,12
EastAsian,10
EastAsian,8
EastAsian,7
EastAsian,13
EastAsian,16
EastAsian,9
EastAsian,8
EastAsian,16
EastAsian,12
EastAsian,6
EastAsian,4
EastAsian,6
EastAsian,3
EastAsian,11
EastAsian,14
EastAsian,1
EastAsian,12
EastAsian,9
EastAsian,5
EastAsian,14
EastAsian,11
EastAsian,5
EastAsian,2
EastAsian,8
EastAsian,15
EastAsian,8
EastAsian,11
EastAsian,7
EastAsian,6
EastAsian,3
EastAsian,1
EastAsian,10
EastAsian,8
EastAsian,4
EastAsian,7
EastAsian,9
EastAsian,13
EastAsian,12
EastAsian,6
EastAsian,5
EastAsian,6
EastAsian,7
EastAsian,12
EastAsian,18
EastAsian,3
EastAsian,7
EastAsian,10
EastAsian,9
EastAsian,10
EastAsian,3
EastAsian,3
EastAsian,11
EastAsian,9
EastAsian,5
EastAsian,3
EastAsian,7
EastAsian,2
EastAsian,8
EastAsian,8
EastAsian,11
EastAsian,6
EastAsian,4
EastAsian,3
EastAsian,15
EastAsian,13
EastAsian,8
EastAsian,14
EastAsian,7
EastAsian,7
EastAsian,12
EastAsian,5
EastAsian,8
EastAsian,9
EastAsian,7
EastAsian,8
EastAsian,16
EastAsian,2
EastAsian,18
EastAsian,13
EastAsian,7
EastAsian,15
EastAsian,9
EastAsian,11
EastAsian,3
EastAsian,7
EastAsian,8
EastAsian,7
EastAsian,4
EastAsian,4
EastAsian,13
EastAsian,3
EastAsian,11
EastAsian,3
EastAsian,8
EastAsian,8
EastAsian,9
EastAsian,9
EastAsian,8
EastAsian,7
EastAsian,6
EastAsian,5
EastAsian,9
EastAsian,7
EastAsian,4
EastAsian,1
EastAsian,17
EastAsian,16
EastAsian,6
EastAsian,7
EastAsian,8
EastAsian,4
EastAsian,16
EastAsian,15
EastAsian,7
EastAsian,12
EastAsian,8
EastAsian,7
EastAsian,1
EastAsian,9
EastAsian,6
EastAsian,10
EastAsian,3
EastAsian,14
EastAsian,13
EastAsian,10
EastAsian,3
EastAsian,17
EastAsian,10
EastAsian,8
EastAsian,5
EastAsian,3
EastAsian,10
EastAsian,13
EastAsian,14
EastAsian,6
EastAsian,10
EastAsian,10
EastAsian,14
EastAsian,7
EastAsian,9
EastAsian,5
EastAsian,9
EastAsian,8
EastAsian,8
EastAsian,9
EastAsian,7
EastAsian,8
EastAsian,7
EastAsian,9
EastAsian,7
EastAsian,5
EastAsian,6
EastAsian,8
EastAsian,10
EastAsian,2
EastAsian,7
EastAsian,17
EastAsian,17
EastAsian,11
EastAsian,2
EastAsian,5
EastAsian,18
EastAsian,17
EastAsian,11
EastAsian,5
EastAsian,6
EastAsian,15
EastAsian,14
EastAsian,7
EastAsian,9
EastAsian,9
EastAsian,10
EastAsian,11
EastAsian,10
EastAsian,8
EastAsian,5
EastAsian,8
EastAsian,5
EastAsian,14
EastAsian,5
EastAsian,9
EastAsian,6
EastAsian,3
EastAsian,18
EastAsian,10
EastAsian,7
EastAsian,9
EastAsian,9
EastAsian,7
EastAsian,5
EastAsian,7
EastAsian,9
EastAsian,4
EastAsian,12
EastAsian,10
EastAsian,8
EastAsian,9
EastAsian,8
EastAsian,8
EastAsian,11
EastAsian,5
EastAsian,14
EastAsian,13
EastAsian,15
EastAsian,9
EastAsian,10
EastAsian,15
EastAsian,9
EastAsian,8
EastAsian,6
EastAsian,11
EastAsian,13
EastAsian,7
EastAsian,3
EastAsian,7
EastAsian,4
EastAsian,3
EastAsian,11
EastAsian,8
EastAsian,4
EastAsian,8
EastAsian,7
EastAsian,8
EastAsian,10
EastAsian,5
EastAsian,12
EastAsian,16
EastAsian,10
EastAsian,7
EastAsian,9
EastAsian,4
EastAsian,10
EastAsian,6
EastAsian,7
EastAsian,8
EastAsian,10
EastAsian,13
EastAsian,9
EastAsian,12
EastAsian,5
EastAsian,4
EastAsian,5
EastAsian,8
EastAsian,8
EastAsian,13
EastAsian,11
EastAsian,9
EastAsian,6
EastAsian,6
EastAsian,8
EastAsian,20
EastAsian,5
EastAsian,8
EastAsian,11
EastAsian,9
EastAsian,10
EastAsian,15
EastAsian,8
EastAsian,9
EastAsian,16
EastAsian,12
EastAsian,7
EastAsian,10
EastAsian,15
EastAsian,8
EastAsian,9
EastAsian,11
EastAsian,3
EastAsian,5
EastAsian,8
EastAsian,4
EastAsian,5
EastAsian,9
EastAsian,13
EastAsian,16
EastAsian,5
